Fecha,Hora,ACO,AJU,ARA,ATI,AZC,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IMP,IZT,LAG,LLA,LPR,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
11-12-2013,24,,,,0.50,,0.40,,,,,,,,0.50,0.40,,0.40,,,,0.60,0.50,0.30,,,0.30,0.4,0.8,,0.80,,,0.80,0.90,,0.40,0.40,,0.40,,
12-12-2013,1,,,,0.20,,0.40,,,,,,,,0.40,0.50,,0.40,,,,0.60,0.30,0.20,,,0.30,0.3,0.6,,0.70,,,0.60,0.50,,0.50,0.40,,0.30,,
12-12-2013,2,,,,0.20,,0.30,,,,,,,,0.40,0.30,,0.30,,,,0.50,0.20,0.20,,,0.30,0.1,0.5,,0.60,,,0.40,0.50,,0.30,0.20,,0.30,,
12-12-2013,3,,,,0.10,,0.20,,,,,,,,0.30,0.20,,0.20,,,,0.30,0.10,0.10,,,0.20,0.1,0.4,,0.40,,,0.30,0.40,,0.20,0.00,,0.30,,
12-12-2013,4,,,,0.10,,0.20,,,,,,,,0.20,0.20,,0.10,,,,0.30,0.20,0.10,,,0.20,0.1,0.2,,0.30,,,0.30,0.40,,0.20,0.00,,0.20,,
12-12-2013,5,,,,0.10,,0.30,,,,,,,,0.20,0.30,,0.20,,,,0.40,0.20,0.10,,,0.10,0.1,0.3,,0.40,,,0.30,0.40,,0.20,0.20,,0.30,,
12-12-2013,6,0.00,,,0.20,,0.40,,,,,,,,0.20,0.30,,0.20,,,,0.60,0.40,0.10,,,0.10,0.3,0.3,,0.40,,,0.50,0.60,,0.20,0.30,,0.60,0.50,
12-12-2013,7,0.10,,,0.50,,0.60,,,,,,,,0.30,0.30,,0.30,,,,1.00,0.70,0.20,,,0.20,0.5,0.7,,0.50,,,0.70,0.90,,0.40,0.60,,1.50,0.30,
12-12-2013,8,0.20,,,0.40,,0.80,,,,,,,,0.30,0.60,,0.60,,,,1.20,1.50,0.50,,,0.50,0.9,1.1,,0.60,,,0.80,1.10,,0.70,0.80,,1.80,0.50,
12-12-2013,9,0.20,,,0.30,,0.60,,,,,,,,0.40,0.50,,0.60,,,,1.20,1.00,0.20,,,0.30,0.7,0.8,,0.60,,,0.60,1.00,,0.50,0.60,,1.00,0.50,
12-12-2013,10,0.10,,,0.30,,0.60,,,,,,,,0.50,0.40,,0.40,,,,0.80,0.70,0.20,,,0.20,0.3,0.6,,0.70,,,0.70,0.70,,0.40,0.50,,0.60,0.60,
12-12-2013,11,0.00,,,0.30,,0.50,,,,,,,,0.50,0.50,,0.50,,,,0.80,0.60,0.20,,,0.30,0.3,0.6,,,,,0.60,0.50,,0.40,0.50,,0.40,0.40,
12-12-2013,12,0.00,,,0.20,,0.40,,,,,,,,0.40,0.50,,0.40,,,,0.70,0.50,0.30,,,0.30,,0.6,,,,,0.60,0.40,,0.50,0.40,,0.30,0.40,
12-12-2013,13,0.00,,,0.20,,0.40,,,,,,,,0.40,0.50,,0.40,,,,0.60,0.40,0.20,,,0.30,,0.6,,,,,0.50,0.40,,0.40,0.40,,0.60,0.40,
12-12-2013,14,0.00,,,0.20,,0.30,,,,,,,,0.50,0.40,,0.30,,,,0.40,0.20,0.30,,,0.40,,0.6,,0.40,,,0.60,0.40,,0.40,0.20,,0.30,0.40,
12-12-2013,15,0.00,,,0.20,,0.30,,,,,,,,0.60,0.40,,0.30,,,,0.50,0.10,0.30,,,0.40,0.1,0.6,,0.40,,,0.80,0.40,,0.40,0.10,,0.40,0.40,
12-12-2013,16,0.00,,,0.20,,0.30,,,,,,,,0.60,0.40,,0.30,,,,0.50,0.20,0.20,,,0.40,0.1,0.5,,0.40,,,0.70,0.40,,0.40,0.10,,0.40,0.40,
12-12-2013,17,0.00,,,0.30,,0.40,,,,,,,,0.60,0.40,,0.40,,,,0.50,0.30,0.30,,,0.40,0.1,0.5,,0.40,,,0.90,0.40,,0.40,0.20,,0.40,0.40,
12-12-2013,18,0.00,,,0.30,,0.40,,,,,,,,0.60,0.40,,0.50,,,,0.40,0.40,0.30,,,0.40,0.2,0.8,,0.40,,,0.70,0.50,,0.40,0.10,,0.40,0.40,
12-12-2013,19,0.00,,,0.30,,0.40,,,,,,,,0.60,0.40,,0.50,,,,0.60,0.50,0.40,,,0.40,0.3,0.8,,0.60,,,0.70,0.60,,0.40,0.20,,0.50,0.50,
12-12-2013,20,0.00,,,0.30,,0.50,,,,,,,,0.40,0.50,,0.40,,,,0.80,0.70,0.30,,,0.40,0.3,0.8,,0.50,,,0.60,0.60,,0.50,0.40,,0.40,0.50,
12-12-2013,21,0.00,,,0.40,,0.30,,,,,,,,0.50,0.40,,0.40,,,,0.70,0.60,0.20,,,0.30,0.3,0.6,,0.60,,,0.50,0.60,,0.50,0.40,,0.30,0.30,
12-12-2013,22,0.00,,,0.40,,0.30,,,,,,,,0.40,0.40,,0.30,,,,0.50,0.50,0.20,,,0.30,0.3,0.6,,0.50,,,0.50,0.60,,0.40,0.30,,0.30,0.30,
12-12-2013,23,0.00,,,0.30,,0.30,,,,,,,,0.40,0.30,,0.30,,,,0.50,0.40,0.20,,,0.30,0.2,0.6,,0.40,,,0.40,0.60,,0.40,0.20,,0.30,0.20,
12-12-2013,24,0.00,,,0.30,,0.20,,,,,,,,0.30,0.30,,0.20,,,,0.50,0.30,0.20,,,0.30,0.2,0.5,,0.40,,,0.40,0.50,,,0.20,,0.20,0.20,
13-12-2013,1,0.00,,,0.20,,0.20,,,,,,0.30,,0.30,0.30,,0.20,,,,0.40,0.20,0.20,,,0.30,0.1,0.4,,0.30,,,0.30,0.50,,,0.20,,0.20,0.20,
13-12-2013,2,0.00,,,0.20,,0.20,,,,,,0.20,,0.20,0.30,,0.10,,,,0.30,0.30,0.10,,,0.30,0.1,0.4,,0.30,,,0.30,0.50,,,0.10,,0.20,0.30,
13-12-2013,3,0.00,,,0.30,,0.20,,,,,,0.20,,0.30,0.20,,0.10,,,,0.30,0.20,0.10,,,0.20,0.1,0.3,,0.30,,,0.30,0.40,,,0.00,,0.20,0.10,
13-12-2013,4,0.00,,,0.40,,0.20,,,,,,0.20,,0.30,0.20,,0.10,,,,0.30,0.20,0.10,,,0.20,0.0,0.3,,0.20,,,0.40,0.50,,,0.00,,0.20,0.10,
13-12-2013,5,0.00,,,0.60,,0.20,,,,,,0.20,,0.30,0.30,,0.10,,,,0.40,0.20,0.10,,,0.20,0.1,0.3,,0.20,,,0.40,0.50,,,0.10,,0.30,0.30,
13-12-2013,6,0.10,,,0.70,,0.40,,,,,,0.30,,0.50,0.40,,0.40,,,,0.80,0.30,0.50,,,0.30,0.3,0.4,,0.30,,,0.50,0.60,,0.40,0.20,,1.70,0.70,
13-12-2013,7,0.30,,,1.30,,1.60,,,,,,0.50,,1.70,0.60,,1.20,,,,1.50,0.70,0.40,,,0.50,1.1,1.0,,0.40,,,1.10,1.00,,0.90,1.10,,1.30,1.30,
13-12-2013,8,0.60,,,0.80,,2.30,,,,,,1.10,,2.40,1.30,,2.40,,,,1.60,1.30,1.00,,,1.00,1.7,1.9,,0.40,,,2.20,1.80,,1.10,2.50,,2.00,2.60,
13-12-2013,9,0.50,,,1.00,,1.70,,,,,,,,1.60,1.50,,1.20,,,,1.30,0.80,1.00,,,1.00,1.5,1.7,,0.50,,,2.30,1.20,,1.20,1.60,,1.70,2.30,
13-12-2013,10,0.20,,,1.00,,,,,,,,1.00,,1.20,1.70,,1.40,,,,1.60,0.80,1.10,,,0.70,1.2,1.6,,0.70,,,1.70,1.30,,1.30,1.20,,0.50,1.60,
13-12-2013,11,0.20,,,1.00,,,,,,,,0.90,,1.30,1.70,,1.50,,,,2.10,0.90,1.40,,,0.90,1.0,2.0,,0.50,,,1.60,1.30,,1.60,1.20,,0.70,1.50,
13-12-2013,12,0.20,,,0.90,,,,,,,,0.80,,1.20,1.20,,1.30,,,,1.40,0.50,1.30,,,1.10,0.6,1.8,,1.20,,,1.10,0.90,,1.40,0.70,,0.40,1.10,
13-12-2013,13,0.10,,,0.50,,0.60,,,,,,0.90,,1.10,1.10,,0.90,,,,1.00,0.40,1.10,,,0.90,0.3,1.6,,1.10,,,0.80,0.50,,0.90,0.40,,0.30,0.70,
13-12-2013,14,0.10,,,0.40,,0.80,,,,,,0.90,,0.90,1.00,,0.60,,,,0.70,0.30,1.00,,,0.90,0.2,1.3,,0.70,,,0.90,0.50,,0.60,0.30,,0.40,0.70,
13-12-2013,15,0.10,,,0.50,,0.90,,,,,,1.00,,1.10,1.00,,0.50,,,,0.90,0.40,1.10,,,1.10,0.2,,,0.80,,,1.00,0.60,,1.10,0.50,,0.50,0.60,
13-12-2013,16,0.10,,,0.80,,1.10,,,,,,1.00,,1.20,0.90,,0.80,,,,1.20,0.60,0.90,,,1.20,0.4,1.3,,0.80,,,1.30,0.80,,1.00,0.80,,0.60,0.70,
13-12-2013,17,0.20,,,0.80,,1.20,,,,,,1.20,,1.30,0.70,,0.80,,,,1.00,0.60,0.60,,,1.30,0.4,1.1,,0.50,,,0.90,1.00,,0.80,0.80,,0.70,0.70,
13-12-2013,18,0.30,,,1.10,,1.10,,,,,,1.50,,1.80,1.10,,0.90,,,,1.80,0.40,1.00,,,1.30,0.4,1.0,,0.50,,,1.20,1.00,,0.50,0.60,,0.80,0.80,
13-12-2013,19,0.50,,,0.60,,1.40,,,,,,1.40,,1.40,1.40,,1.10,,,,1.40,0.70,1.70,,,1.80,0.5,1.6,,0.30,,,1.30,1.20,,0.60,0.80,,1.60,0.90,
13-12-2013,20,0.40,,,0.50,,1.20,,,,,,0.90,,2.10,1.60,,1.50,,,,1.50,1.10,1.40,,,0.60,0.7,2.4,,1.40,,,1.70,1.30,,0.90,0.70,,1.30,1.30,
13-12-2013,21,0.50,,,0.70,,1.00,,,,,,0.60,,2.30,1.80,,1.70,,,,1.90,1.00,1.10,,,0.70,1.4,1.6,,1.50,,,2.00,1.40,,1.00,1.60,,1.30,1.70,
13-12-2013,22,0.50,,,0.80,,1.70,,,,,,0.50,,2.50,1.50,,1.60,,,,2.40,1.20,1.20,,,0.60,1.8,1.6,,1.80,,,2.60,1.20,,1.20,1.50,,1.80,2.30,
13-12-2013,23,0.60,,,0.70,,1.30,,,,,,0.40,,1.80,1.70,,1.50,,,,2.40,1.20,0.80,,,0.50,1.8,1.8,,1.40,,,0.90,1.00,,1.40,1.20,,1.60,2.20,
13-12-2013,24,0.60,,,0.30,,0.60,,,,,,1.00,,1.30,1.40,,1.50,,,,2.10,1.40,1.20,,,0.80,2.4,1.7,,1.00,,,0.90,1.00,,1.10,1.50,,0.90,2.20,
14-12-2013,1,0.50,,,0.60,,0.90,,,,,,1.10,,1.50,1.70,,1.20,,,,2.00,1.00,1.30,,,0.90,1.4,2.1,,0.80,,,1.40,1.40,,1.10,1.00,,1.20,1.60,
14-12-2013,2,0.40,,,0.60,,1.80,,,,,,0.70,,1.60,2.10,,1.50,,,,2.20,1.40,0.70,,,0.60,1.7,1.6,,0.90,,,1.40,1.40,,1.00,0.80,,1.50,1.50,
14-12-2013,3,0.30,,,0.60,,1.60,,,,,,0.80,,1.40,1.90,,1.20,,,,2.30,1.00,0.60,,,0.50,1.7,1.0,,0.80,,,1.30,1.30,,0.80,1.00,,0.90,1.60,
14-12-2013,4,0.20,,,0.70,,1.00,,,,,,0.60,,0.90,1.60,,1.10,,,,1.90,0.90,1.40,,,0.40,1.2,1.0,,0.80,,,1.10,1.20,,0.80,0.90,,1.10,1.30,
14-12-2013,5,0.30,,,0.50,,0.80,,,,,,0.60,,0.90,1.60,,1.20,,,,2.50,0.90,0.90,,,0.40,1.6,1.2,,0.70,,,0.80,1.40,,0.90,1.00,,1.50,1.40,
14-12-2013,6,0.30,,,0.70,,0.70,,,,,,0.60,,0.80,1.60,,1.10,,,,2.00,1.50,0.30,,,0.40,1.4,1.3,,1.00,,,0.80,1.40,,0.80,0.80,,1.60,1.30,
14-12-2013,7,0.60,,,1.30,,1.30,,,,,,0.70,,1.10,1.50,,1.50,,,,2.70,2.30,0.30,,,0.40,2.3,1.4,,1.20,,,1.60,1.70,,0.90,1.30,,3.00,3.80,
14-12-2013,8,0.80,,,2.10,,1.80,,,,,,1.00,,1.90,2.00,,2.20,,,,3.60,2.50,0.80,,,0.70,2.7,1.4,,1.50,,,1.90,2.60,,1.20,1.80,,2.70,2.80,
14-12-2013,9,0.80,,,1.30,,2.10,,,,,,1.30,,2.60,1.60,,1.90,,,,3.40,3.50,1.60,,,0.70,2.2,1.5,,1.20,,,2.10,2.10,,1.20,1.90,,2.00,2.30,
14-12-2013,10,0.60,,,1.80,,2.00,,,,,,0.90,,2.60,1.70,,1.50,,,,2.80,2.70,1.20,,,0.70,2.0,1.7,,0.60,,,2.30,1.90,,1.10,1.70,,1.50,2.50,
14-12-2013,11,0.50,,,0.60,,1.10,,,,,,1.00,,1.40,2.10,,1.40,,,,2.30,1.40,0.70,,,0.80,1.4,1.3,,0.70,,,1.70,1.30,,1.10,1.80,,1.20,1.60,
14-12-2013,12,0.30,,,0.60,,1.00,,,,,,1.10,,1.20,1.10,,1.20,,,,1.20,0.60,0.50,,,1.00,0.6,1.3,,,,,1.00,0.90,,1.50,0.80,,0.60,1.00,
14-12-2013,13,0.20,,,0.40,,0.60,,,,,,1.00,,0.80,1.20,,1.00,,,,1.30,0.50,0.70,,,0.90,0.5,1.4,,1.10,,,1.00,0.70,,1.30,0.50,,0.40,0.90,
14-12-2013,14,0.20,,,0.30,,0.60,,,,,,0.80,,0.60,1.00,,1.00,,,,1.30,0.50,1.00,,,0.80,0.5,,,0.90,,,0.80,0.60,,0.90,0.70,,0.40,0.90,
14-12-2013,15,0.10,,,0.20,,0.50,,,,,,0.90,,0.50,0.90,,0.90,,,,1.40,0.70,0.60,,,0.70,0.7,1.2,,0.70,,,0.70,0.60,,0.80,0.80,,0.30,0.60,
14-12-2013,16,0.10,,,0.30,,0.80,,,,,,1.00,,1.00,0.90,,0.80,,,,1.50,1.30,0.40,,,0.80,0.9,0.9,,0.50,,,1.00,0.50,,0.50,0.60,,0.30,0.70,
14-12-2013,17,0.20,,,1.00,,1.20,,,,,,1.00,,1.70,1.10,,1.00,,,,1.70,0.70,0.50,,,0.80,1.0,1.2,,,,,1.30,0.90,,0.50,0.50,,0.40,1.40,
14-12-2013,18,0.40,,,1.00,,1.20,,,,,,0.60,,0.90,1.10,,1.00,,,,1.40,0.60,0.70,,,0.50,0.7,1.2,,0.60,,,1.30,1.50,,0.60,0.50,,0.90,1.30,
14-12-2013,19,0.10,,,0.30,,0.60,,,,,,0.50,,0.50,0.80,,0.70,,,,1.50,1.10,0.80,,,0.40,0.8,1.5,,0.70,,,0.70,1.10,,1.30,1.10,,0.90,1.00,
14-12-2013,20,0.20,,,0.30,,0.70,,,,,,0.60,,0.50,0.80,,0.90,,,,1.60,1.10,0.70,,,0.70,0.6,1.9,,0.90,,,0.80,0.80,,1.20,1.40,,0.50,0.90,
14-12-2013,21,0.20,,,0.50,,0.60,,,,,,0.80,,0.30,0.90,,0.90,,,,1.20,0.80,1.10,,,0.60,0.5,2.0,,0.60,,,0.90,0.70,,1.50,0.70,,0.40,0.80,
14-12-2013,22,0.10,,,0.50,,0.70,,,,,,0.70,,0.40,0.80,,0.70,,,,1.10,1.00,0.90,,,0.50,0.7,1.5,,0.90,,,1.00,0.80,,1.20,0.80,,0.50,0.40,
14-12-2013,23,0.10,,,0.60,,0.60,,,,,,1.30,,0.40,0.70,,0.70,,,,1.10,1.50,0.80,,,0.60,0.6,1.7,,0.70,,,0.80,0.80,,1.60,1.00,,0.40,0.70,
14-12-2013,24,0.00,,,0.40,,0.50,,,,,,1.00,,0.30,0.60,,0.40,,,,0.80,0.90,0.70,,,,0.5,1.0,,0.90,,,0.60,0.80,,0.70,0.50,,0.30,0.40,
15-12-2013,1,0.00,,,0.30,,0.30,,,,,,0.40,,0.30,0.50,,0.40,,,,0.60,0.70,0.30,,,,0.3,0.7,,0.70,,,0.50,0.70,,0.50,0.40,,0.30,0.20,
15-12-2013,2,0.00,,,0.50,,0.20,,,,,,0.40,,0.40,0.40,,0.30,,,,0.50,0.40,0.20,,,,0.2,0.6,,0.50,,,0.40,0.60,,0.50,0.30,,0.30,0.20,
15-12-2013,3,0.00,,,0.40,,0.20,,,,,,0.30,,0.40,0.40,,0.30,,,,0.50,0.40,0.30,,,,0.3,0.6,,0.40,,,0.40,0.60,,0.40,0.20,,0.30,0.40,
15-12-2013,4,0.00,,,0.20,,0.20,,,,,,0.40,,0.30,0.40,,0.20,,,,0.50,0.30,0.30,,,,0.2,0.7,,0.30,,,0.40,0.60,,0.40,0.20,,0.20,0.20,
15-12-2013,5,0.00,,,0.10,,0.10,,,,,,0.30,,0.20,0.30,,0.20,,,,0.50,0.20,0.30,,,,0.2,0.6,,0.40,,,0.30,0.50,,0.40,0.20,,0.20,0.20,
15-12-2013,6,0.00,,,0.10,,0.10,,,,,,0.30,,0.10,0.30,,0.20,,,,0.60,0.20,0.20,,,0.30,0.1,0.5,,0.40,,,0.30,0.50,,0.30,0.10,,0.20,0.40,
15-12-2013,7,0.00,,,0.20,,0.10,,,,,,0.30,,0.20,0.30,,0.20,,,,0.60,0.20,0.20,,,0.30,0.3,0.5,,0.40,,,0.30,0.50,,0.30,0.20,,0.20,0.70,
15-12-2013,8,0.00,,,0.40,,0.30,,,,,,0.40,,0.40,0.40,,0.30,,,,0.80,0.30,0.20,,,0.40,0.4,0.7,,0.50,,,0.50,0.60,,0.40,0.40,,0.20,0.90,
15-12-2013,9,0.20,,,0.40,,0.40,,,,,,0.70,,0.40,0.40,,0.40,,,,1.10,0.50,0.40,,,0.60,0.5,0.8,,0.60,,,0.60,0.70,,0.50,0.50,,0.50,1.10,
15-12-2013,10,0.10,,,0.40,,0.50,,,,,,0.60,,0.50,0.60,,0.50,,,,1.00,0.50,0.40,,,0.60,0.5,0.8,,0.70,,,0.70,0.70,,0.70,0.70,,0.40,0.90,
15-12-2013,11,0.10,,,0.50,,0.50,,,,,,0.50,,0.60,0.70,,0.70,,,,0.90,0.50,0.40,,,0.50,0.6,0.8,,0.70,,,0.80,0.80,,0.80,0.60,,0.50,1.00,
15-12-2013,12,0.10,,,0.60,,0.70,,,,,,0.70,,0.70,0.80,,0.90,,,,1.10,0.50,0.50,,,0.60,0.6,1.2,,0.50,,,0.90,0.80,,0.70,0.40,,0.40,0.90,
15-12-2013,13,0.10,,,0.50,,0.70,,,,,,0.80,,0.80,1.00,,0.70,,,,1.00,0.50,0.60,,,0.70,0.5,1.0,,0.50,,,1.00,0.90,,0.70,0.40,,0.40,0.70,
15-12-2013,14,0.20,,,0.60,,0.80,,,,,,0.80,,0.90,0.90,,0.60,,,,1.00,0.60,0.70,,,0.80,0.4,1.0,,0.30,,,1.00,0.80,,0.70,0.40,,0.40,0.60,
15-12-2013,15,0.20,,,0.70,,0.90,,,,,,0.90,,0.90,0.90,,0.80,,,,1.10,0.80,0.70,,,0.90,0.5,1.0,,0.30,,,1.10,0.70,,0.60,0.50,,0.50,0.80,
15-12-2013,16,0.20,,,0.70,,0.80,,,,,,1.00,,0.80,1.00,,0.80,,,,1.30,0.70,0.70,,,0.90,0.6,1.0,,0.40,,,1.00,0.70,,0.70,0.60,,0.40,0.80,
15-12-2013,17,0.10,,,0.50,,0.70,,,,,,1.00,,0.80,0.90,,1.00,,,,1.60,0.60,0.90,,,0.90,0.5,1.4,,0.50,,,0.90,0.60,,0.80,0.50,,0.40,0.70,
15-12-2013,18,0.20,,,0.60,,0.60,,,,,,1.00,,0.70,0.80,,1.00,,,,1.20,0.70,0.80,,,0.90,0.5,1.5,,0.60,,,0.80,0.70,,1.10,0.50,,0.50,0.70,
15-12-2013,19,0.30,,,1.50,,0.80,,,,,,1.10,,0.80,0.80,,1.00,,,,1.20,0.80,1.10,,,0.90,0.7,1.9,,0.40,,,1.10,0.90,,0.70,0.50,,0.60,0.70,
15-12-2013,20,0.30,,,0.80,,1.00,,,,,,,,0.80,0.90,,0.90,,,,1.40,0.80,1.30,,,1.40,0.7,1.9,,0.90,,,1.20,1.10,,0.90,0.80,,0.60,1.00,
15-12-2013,21,0.20,,,1.10,,1.00,,,,,,1.70,,1.20,1.20,,1.50,,,,1.60,1.20,1.10,,,1.30,0.9,2.4,,1.00,,,1.00,0.80,,1.10,1.00,,0.70,1.30,
15-12-2013,22,0.30,,,1.40,,0.50,,,,,,1.20,,1.00,0.80,,1.10,,,,1.10,1.00,1.20,,,1.20,0.8,2.3,,0.90,,,0.80,0.80,,1.20,1.10,,0.50,1.00,
15-12-2013,23,0.20,,,0.60,,0.70,,,,,,1.00,,0.60,0.70,,0.60,,,,0.90,1.10,1.10,,,0.80,0.8,1.8,,0.70,,,0.90,0.90,,1.30,1.00,,0.60,0.60,
15-12-2013,24,0.10,,,0.30,,0.80,,,,,,0.70,,0.40,1.00,,0.90,,,,1.20,0.90,1.00,,,0.70,0.6,1.5,,1.10,,,,1.10,,1.40,0.80,,1.00,0.70,
16-12-2013,1,0.10,,,0.50,,0.50,,,,,,0.50,,0.50,0.60,,0.70,,,,1.10,0.60,0.80,,,0.60,0.8,1.6,,1.20,,,,1.10,,1.70,0.90,,1.10,1.00,
16-12-2013,2,0.10,,,0.30,,0.60,,,,,,0.50,,0.50,0.50,,0.70,,,,0.90,0.80,0.50,,,0.50,0.8,1.4,,0.90,,,,1.00,,1.40,0.60,,1.30,1.00,
16-12-2013,3,0.10,,,0.40,,0.50,,,,,,0.50,,0.50,0.70,,0.80,,,,1.20,0.60,0.40,,,0.40,0.8,1.6,,0.70,,,,1.00,,1.50,0.60,,1.60,1.20,
16-12-2013,4,0.10,,,0.30,,0.60,,,,,,0.30,,0.80,0.90,,0.70,,,,1.00,0.60,0.40,,,0.30,0.6,1.2,,0.70,,,,1.00,,1.20,0.60,,0.80,1.60,
16-12-2013,5,0.10,,,1.30,,0.90,,,,,,0.40,,0.80,0.80,,0.70,,,,0.90,0.50,0.50,,,0.30,0.5,1.1,,0.60,,,0.90,1.10,,0.90,0.60,,0.40,1.40,
16-12-2013,6,0.30,,,0.80,,0.90,,,,,,0.40,,0.60,1.00,,0.90,,,,1.20,1.00,0.40,,,0.30,1.0,1.3,,0.70,,,1.50,1.40,,1.00,0.70,,0.80,1.20,
16-12-2013,7,0.50,,,1.90,,1.30,,,,,,1.00,,1.10,1.50,,1.60,,,,1.80,1.10,0.70,,,0.80,1.5,1.5,,1.60,,,2.50,1.60,,1.50,1.60,,1.80,2.80,
16-12-2013,8,0.90,,,3.20,,2.10,,,,,,2.30,,2.60,2.20,,2.40,,,,2.60,1.90,1.40,,,1.30,2.4,2.3,,1.10,,,3.10,2.10,,2.40,2.40,,2.70,3.30,
16-12-2013,9,0.70,,,2.10,,2.60,,,,,,0.80,,2.70,2.40,,2.20,,,,2.10,2.10,1.20,,,0.80,1.9,2.8,,1.90,,,2.70,2.70,,1.80,2.30,,2.30,3.70,
16-12-2013,10,0.50,,,2.00,,2.10,,,,,,0.60,,3.00,1.90,,1.70,,,,1.50,1.70,1.30,,,1.50,1.0,2.4,,1.50,,,2.00,2.20,,1.10,1.80,,1.70,3.10,
16-12-2013,11,0.40,,,1.30,,1.50,,,,,,0.50,,2.00,1.50,,1.50,,,,1.60,1.10,1.10,,,0.60,0.9,2.1,,0.80,,,1.70,1.30,,1.40,1.70,,1.00,3.00,
16-12-2013,12,0.10,,,0.90,,1.00,,,,,,0.40,,1.00,1.00,,,,,,1.20,0.70,0.80,,,0.40,0.6,1.3,,0.60,,,1.10,0.80,,1.00,0.80,,0.50,1.60,
16-12-2013,13,0.10,,,0.30,,0.50,,,,,,0.50,,0.60,1.10,,,,,,1.60,0.50,0.60,,,0.60,0.7,0.9,,0.60,,,,0.40,,0.60,0.40,,0.30,0.60,
16-12-2013,14,0.10,,,0.20,,0.40,,,,,,0.70,,0.40,0.80,,,,,,1.10,0.30,0.50,,,0.60,0.2,1.0,,0.40,,,,0.30,,0.70,0.40,,0.30,0.40,
16-12-2013,15,0.10,,,0.20,,0.30,,,,,,0.50,,0.30,0.50,,0.60,,,,0.90,0.40,0.60,,,,0.2,1.2,,0.50,,,0.70,0.30,,0.80,0.20,,0.20,0.50,
16-12-2013,16,0.10,,,0.20,,0.30,,,,,,0.40,,0.40,0.40,,0.40,,,,0.90,0.50,0.40,,,,0.2,0.9,,0.40,,,0.60,0.40,,0.60,0.30,,0.30,0.40,
16-12-2013,17,0.10,,,0.30,,0.50,,,,,,0.40,,0.40,0.40,,0.40,,,,1.00,0.60,0.40,,,0.30,0.2,0.7,,0.50,,,0.70,0.40,,0.40,0.30,,0.30,0.40,
16-12-2013,18,0.10,,,0.30,,0.60,,,,,,0.50,,0.60,0.60,,0.50,,,,1.00,0.70,0.50,,,0.40,0.3,0.9,,0.60,,,0.70,0.40,,0.50,0.50,,0.30,0.40,
16-12-2013,19,0.20,,,0.40,,0.70,,,,,,0.70,,0.70,0.60,,0.60,,,,1.10,0.90,0.60,,,0.60,0.4,0.8,,0.70,,,0.90,0.60,,0.50,0.60,,0.50,0.50,
16-12-2013,20,0.10,,,0.50,,0.80,,,,,,0.70,,0.60,0.60,,0.80,,,,0.90,1.00,0.70,,,0.60,0.5,1.0,,0.60,,,0.90,0.60,,0.50,0.60,,0.50,0.70,
16-12-2013,21,0.10,,,0.40,,0.70,,,,,,0.70,,0.60,0.70,,0.90,,,,0.80,1.10,0.90,,,0.70,0.8,1.1,,0.70,,,0.90,0.70,,0.40,0.60,,0.70,0.70,
16-12-2013,22,0.10,,,0.50,,0.80,,,,,,0.80,,0.90,0.80,,1.00,,,,0.90,1.00,0.80,,,0.70,0.9,1.5,,0.70,,,0.80,0.90,,0.70,0.90,,0.70,0.70,
16-12-2013,23,0.10,,,0.40,,0.50,,,,,,0.80,,0.50,0.60,,0.80,,,,1.00,1.10,0.70,,,0.70,0.8,1.4,,0.70,,,0.90,1.00,,1.00,1.10,,0.70,1.40,
16-12-2013,24,0.20,,,0.40,,0.70,,,,,,,,0.70,0.70,,0.70,,,,,1.00,0.40,,,0.40,0.6,1.0,,0.90,,,1.40,0.90,,1.10,0.70,,1.00,1.60,
17-12-2013,1,0.30,,,0.30,,1.00,,,,,,,,0.50,0.80,,0.70,,,,,0.80,0.20,,,0.30,0.8,1.3,,0.50,,,1.00,0.70,,1.60,0.70,,1.00,1.50,
17-12-2013,2,0.30,,,0.10,,0.80,,,,,,,,0.30,0.70,,0.60,,,,,0.80,0.10,,,0.20,1.0,0.7,,0.60,,,0.90,0.60,,1.50,1.00,,0.90,1.20,
17-12-2013,3,0.20,,,0.10,,0.60,,,,,,,,0.30,0.60,,0.80,,,,,0.60,0.10,,,0.20,0.8,0.4,,0.60,,,0.60,0.60,,1.20,0.70,,0.90,1.50,
17-12-2013,4,0.10,,,0.10,,0.60,,,,,,,,0.20,1.00,,0.60,,,,,0.40,0.10,,,0.20,0.8,0.9,,0.70,,,0.50,0.70,,1.10,0.50,,0.50,1.10,
17-12-2013,5,0.10,,,0.20,,0.60,,,,,,0.30,,0.20,0.80,,0.50,,,,0.90,0.40,0.10,,,0.20,0.7,0.5,,0.70,,,0.60,0.80,,0.80,0.30,,0.50,1.10,
17-12-2013,6,0.20,,,0.40,,0.80,,,,,,0.40,,0.40,0.90,,0.80,,,,1.20,0.40,0.20,,,0.40,1.4,0.8,,0.80,,,0.80,0.70,,0.80,0.60,,0.80,1.30,
17-12-2013,7,0.40,,,1.40,,1.00,,,,,,0.90,,1.00,1.70,,1.50,,,,4.30,0.90,0.40,,,0.60,3.4,1.4,,1.00,,,1.40,1.00,,1.80,0.90,,1.40,3.40,
