Fecha,Hora,ACO,AJM,AJU,ARA,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,IMP,INN,IZT,LAG,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
01-05-2019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2019,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2019,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2019,4,0.20,0.20,,,0.20,,0.40,,0.40,,,,,0.10,,0.20,,,0.30,,0.10,0.40,,0.30,0.50,0.30,0.30,0.10,0.20,0.50,,0.60,0.20,0.10,,,,0.20,,,,0.50,,,,,0.30,,
01-05-2019,5,0.20,0.10,,,0.30,,0.50,,0.40,,,,,0.20,,0.30,,,0.40,,0.00,1.10,,0.30,0.50,0.60,0.80,0.10,0.40,0.30,,0.70,0.30,0.00,,,,0.40,,,,0.50,,,,,0.20,,
01-05-2019,6,0.30,0.10,,,0.40,,0.70,,0.30,,,,,0.40,,0.60,,,0.70,,0.00,1.10,,0.90,1.00,0.80,1.00,0.20,1.30,0.40,,1.30,0.70,0.10,,,,0.60,,,,0.60,,,,,0.50,,
01-05-2019,7,0.60,0.20,,,0.60,,1.00,,0.40,,,,,0.50,,1.00,,,0.90,,0.00,1.00,,0.80,1.20,1.30,1.10,0.10,0.90,0.50,,1.60,0.50,0.10,,,,0.90,,,,1.30,,,,,0.80,,
01-05-2019,8,0.50,0.30,,,0.60,,1.00,,0.70,,,,,0.20,,0.90,,,1.30,,0.10,1.20,,0.40,1.30,0.70,0.90,0.10,1.10,0.60,,1.50,0.70,0.10,,,,0.70,,,,1.20,,,,,0.60,,
01-05-2019,9,0.40,0.70,,,0.60,,1.00,,0.70,,0.30,,,0.10,,0.90,,,0.90,,0.10,0.80,,0.50,0.90,0.70,1.10,0.30,1.00,0.60,,1.10,0.70,0.30,,,,0.20,,,,1.00,,,,,0.50,,
01-05-2019,10,0.40,0.70,,,0.50,,0.70,,0.90,,0.30,,,0.40,,0.70,,,0.60,,0.20,0.50,,0.90,0.90,0.40,0.90,0.10,0.50,0.80,,0.70,0.80,0.60,,,,0.30,,,,0.70,,,,,0.60,,
01-05-2019,11,0.30,0.80,,,0.30,,0.60,,0.60,,0.20,,,0.80,,0.50,,,0.30,,0.20,0.30,,0.70,0.40,0.30,0.50,0.10,0.30,0.60,,0.60,0.60,0.80,,,,0.30,,,,0.60,,,,,0.40,,
01-05-2019,12,0.20,0.50,,,0.20,,0.30,,0.50,,0.20,,,0.40,,0.40,,,0.20,,0.20,0.20,,0.30,0.30,0.20,0.30,0.10,0.20,0.30,,0.50,0.20,0.30,,,,0.20,,,,0.50,,,,,0.30,,
01-05-2019,13,0.20,0.20,,,0.20,,0.10,,0.20,,0.10,,,0.10,,0.20,,,0.20,,0.20,0.20,,0.10,0.10,0.20,0.10,0.10,0.20,0.20,,0.30,0.10,0.10,,,,0.10,,,,0.30,,,,,0.10,,
01-05-2019,14,0.20,0.20,,,0.20,,0.10,,0.20,,0.10,,,0.20,,0.20,,,0.10,,0.20,0.20,,0.10,0.00,0.10,0.10,0.10,0.10,0.20,,0.20,0.10,0.10,,,,0.20,,,,0.10,,,,,0.00,,
01-05-2019,15,0.20,0.20,,,0.10,,0.10,,0.20,,0.10,,,0.20,,0.30,,,0.10,,0.30,0.20,,0.00,0.00,0.10,0.20,0.10,0.10,0.20,,0.10,0.10,0.20,,,,0.10,,,,0.00,,,,,0.00,,
01-05-2019,16,0.20,0.20,,,0.20,,0.20,,0.20,,0.10,,,0.30,,0.30,,,0.20,,0.30,0.20,,0.00,0.20,0.00,0.20,0.20,0.10,0.20,,0.10,0.10,0.20,,,,0.10,,,,0.00,,,,,0.00,,
01-05-2019,17,0.10,0.30,,,0.10,,0.20,,0.30,,0.20,,,0.30,,0.20,,,0.10,,0.20,0.40,,0.10,0.80,0.30,0.20,0.20,0.30,0.30,,0.40,0.10,0.30,,,,0.20,,,,0.10,,,,,,,
