Fecha,Hora,ACO,AJM,AJU,ARA,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,IMP,INN,IZT,LAG,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
01-09-2019,1,,0.10,,,,,0.10,,0.10,,,,,0.00,,0.10,,,,,0.10,0.30,,,0.10,0.10,0.10,,,0.20,,0.20,,,,,,,,,,,,0.20,0.20,,0.10,0.10,
01-09-2019,2,,0.10,,,,,0.10,,0.10,,,,,0.00,,0.10,,,,,0.10,0.30,,,0.20,0.20,0.10,,,0.20,,0.20,,,,,,,,,,,,0.20,0.20,,0.10,0.10,
01-09-2019,3,,0.00,,,,,0.10,,0.10,,,,,0.00,,0.20,,,,,0.10,0.20,,,0.10,0.10,0.10,,,0.10,,0.20,,,,,,,,,,,,0.20,0.30,,0.10,0.10,
01-09-2019,4,,0.00,,,,,0.10,,0.00,,,,,0.00,,0.20,,,,,0.10,0.20,,,0.00,0.20,0.10,,,0.10,,0.20,,,,,,,,,,,,0.20,0.30,,0.10,0.10,
01-09-2019,5,,0.00,,,,,0.10,,0.00,,,,,0.10,,0.30,,,,,0.10,0.20,,,0.20,0.20,0.20,,,0.10,,0.20,,,,,,,,,,,,0.20,0.30,,0.10,0.20,
01-09-2019,6,,0.00,,,,,0.20,,0.10,,,,,0.20,,0.40,,,,,0.10,0.60,,,0.30,0.80,0.60,,,0.20,,0.30,,,,,,,,,,,,0.40,0.40,,0.30,0.50,
01-09-2019,7,,0.00,,,,,0.30,,0.10,,,,,0.20,,0.50,,,,,0.00,1.10,,,0.60,0.50,0.90,,,0.20,,0.40,,,,,,,,,,,,0.70,0.60,,0.60,0.90,
01-09-2019,8,,0.10,,,,,0.90,,0.20,,,,,0.10,,0.60,,,,,0.00,1.10,,,0.60,0.60,0.50,,,0.30,,0.70,,,,,,0.60,,,,,,0.50,0.70,,0.40,0.90,
01-09-2019,9,,0.40,,,,,0.60,,0.60,,,,,0.00,,0.50,,,,,0.10,0.70,,,0.60,0.50,0.30,,,0.40,,0.70,,,,,,0.50,,,,,,0.60,0.40,,0.40,0.60,
01-09-2019,10,,0.30,,,,,0.50,,0.50,,,,,0.00,,0.30,,,,,0.10,0.50,,,0.60,0.30,0.30,,,0.60,,0.30,,,,,,0.30,,,,,,0.50,0.30,,0.30,0.30,
